driverId,driver_name,year,points,final_rank
16,"Adrian Sutil",2010,47,11
16,"Adrian Sutil",2011,42,9
16,"Adrian Sutil",2013,29,13
16,"Adrian Sutil",2014,0,18
848,"Alexander Albon",2019,92,8
848,"Alexander Albon",2020,105,7
848,"Alexander Albon",2022,4,19
848,"Alexander Albon",2023,27,13
848,"Alexander Albon",2024,12,16
834,"Alexander Rossi",2015,0,20
827,"André Lotterer",2014,0,24
841,"Antonio Giovinazzi",2017,0,22
841,"Antonio Giovinazzi",2019,14,17
841,"Antonio Giovinazzi",2020,4,17
841,"Antonio Giovinazzi",2021,3,18
843,"Brendon Hartley",2017,0,23
843,"Brendon Hartley",2018,4,19
811,"Bruno Senna",2010,0,23
811,"Bruno Senna",2011,2,18
811,"Bruno Senna",2012,31,16
832,"Carlos Sainz",2015,18,15
832,"Carlos Sainz",2016,46,12
832,"Carlos Sainz",2017,54,9
832,"Carlos Sainz",2018,53,10
832,"Carlos Sainz",2019,96,6
832,"Carlos Sainz",2020,105,6
832,"Carlos Sainz",2021,164.5,5
832,"Carlos Sainz",2022,246,5
832,"Carlos Sainz",2023,200,7
832,"Carlos Sainz",2024,290,5
844,"Charles Leclerc",2018,39,13
844,"Charles Leclerc",2019,264,4
844,"Charles Leclerc",2020,98,8
844,"Charles Leclerc",2021,159,7
844,"Charles Leclerc",2022,308,2
844,"Charles Leclerc",2023,206,5
844,"Charles Leclerc",2024,356,3
819,"Charles Pic",2012,0,21
819,"Charles Pic",2013,0,20
32,"Christian Klien",2010,0,27
817,"Daniel Ricciardo",2011,0,27
817,"Daniel Ricciardo",2012,10,18
817,"Daniel Ricciardo",2013,20,14
817,"Daniel Ricciardo",2014,238,3
817,"Daniel Ricciardo",2015,92,8
817,"Daniel Ricciardo",2016,256,3
817,"Daniel Ricciardo",2017,200,5
817,"Daniel Ricciardo",2018,170,6
817,"Daniel Ricciardo",2019,54,9
817,"Daniel Ricciardo",2020,119,5
817,"Daniel Ricciardo",2021,115,8
817,"Daniel Ricciardo",2022,37,11
817,"Daniel Ricciardo",2023,6,17
817,"Daniel Ricciardo",2024,12,17
826,"Daniil Kvyat",2014,8,15
826,"Daniil Kvyat",2015,95,7
826,"Daniil Kvyat",2016,25,14
826,"Daniil Kvyat",2017,5,19
826,"Daniil Kvyat",2019,37,13
826,"Daniil Kvyat",2020,32,14
821,"Esteban Gutiérrez",2013,6,16
821,"Esteban Gutiérrez",2014,0,20
821,"Esteban Gutiérrez",2016,0,21
839,"Esteban Ocon",2016,0,23
839,"Esteban Ocon",2017,87,8
839,"Esteban Ocon",2018,49,12
839,"Esteban Ocon",2020,62,12
839,"Esteban Ocon",2021,74,11
839,"Esteban Ocon",2022,92,8
839,"Esteban Ocon",2023,58,12
839,"Esteban Ocon",2024,23,14
13,"Felipe Massa",2010,144,6
13,"Felipe Massa",2011,118,6
13,"Felipe Massa",2012,122,7
13,"Felipe Massa",2013,112,8
13,"Felipe Massa",2014,134,7
13,"Felipe Massa",2015,121,6
13,"Felipe Massa",2016,53,11
13,"Felipe Massa",2017,43,11
831,"Felipe Nasr",2015,27,13
831,"Felipe Nasr",2016,2,17
4,"Fernando Alonso",2010,252,2
4,"Fernando Alonso",2011,257,4
4,"Fernando Alonso",2012,278,2
4,"Fernando Alonso",2013,242,2
4,"Fernando Alonso",2014,161,6
4,"Fernando Alonso",2015,11,17
4,"Fernando Alonso",2016,54,10
4,"Fernando Alonso",2017,17,15
4,"Fernando Alonso",2018,50,11
4,"Fernando Alonso",2021,81,10
4,"Fernando Alonso",2022,81,9
4,"Fernando Alonso",2023,206,4
4,"Fernando Alonso",2024,70,9
861,"Franco Colapinto",2024,5,19
847,"George Russell",2019,0,20
847,"George Russell",2020,3,18
847,"George Russell",2021,16,15
847,"George Russell",2022,275,4
847,"George Russell",2023,175,8
847,"George Russell",2024,245,6
823,"Giedo van der Garde",2013,0,21
855,"Guanyu Zhou",2022,6,18
855,"Guanyu Zhou",2023,6,18
855,"Guanyu Zhou",2024,4,20
5,"Heikki Kovalainen",2010,0,20
5,"Heikki Kovalainen",2011,0,22
5,"Heikki Kovalainen",2012,0,22
5,"Heikki Kovalainen",2013,0,22
851,"Jack Aitken",2020,0,22
862,"Jack Doohan",2024,0,24
153,"Jaime Alguersuari",2010,5,19
153,"Jaime Alguersuari",2011,26,14
15,"Jarno Trulli",2010,0,21
15,"Jarno Trulli",2011,0,21
818,"Jean-Éric Vergne",2012,16,17
818,"Jean-Éric Vergne",2013,13,15
818,"Jean-Éric Vergne",2014,22,13
18,"Jenson Button",2010,214,5
18,"Jenson Button",2011,270,2
18,"Jenson Button",2012,188,5
18,"Jenson Button",2013,73,9
18,"Jenson Button",2014,126,8
18,"Jenson Button",2015,16,16
18,"Jenson Button",2016,21,15
18,"Jenson Button",2017,0,24
816,"Jérôme d'Ambrosio",2011,0,24
816,"Jérôme d'Ambrosio",2012,0,23
835,"Jolyon Palmer",2016,1,18
835,"Jolyon Palmer",2017,8,17
824,"Jules Bianchi",2013,0,19
824,"Jules Bianchi",2014,2,17
155,"Kamui Kobayashi",2010,32,12
155,"Kamui Kobayashi",2011,30,12
155,"Kamui Kobayashi",2012,60,12
155,"Kamui Kobayashi",2014,0,22
812,"Karun Chandhok",2010,0,22
812,"Karun Chandhok",2011,0,28
825,"Kevin Magnussen",2014,55,11
825,"Kevin Magnussen",2015,0,22
825,"Kevin Magnussen",2016,7,16
825,"Kevin Magnussen",2017,19,14
825,"Kevin Magnussen",2018,56,9
825,"Kevin Magnussen",2019,20,16
825,"Kevin Magnussen",2020,1,20
825,"Kevin Magnussen",2022,25,13
825,"Kevin Magnussen",2023,3,19
825,"Kevin Magnussen",2024,16,15
8,"Kimi Räikkönen",2012,207,3
8,"Kimi Räikkönen",2013,183,5
8,"Kimi Räikkönen",2014,55,12
8,"Kimi Räikkönen",2015,150,4
8,"Kimi Räikkönen",2016,186,6
8,"Kimi Räikkönen",2017,205,4
8,"Kimi Räikkönen",2018,251,3
8,"Kimi Räikkönen",2019,43,12
8,"Kimi Räikkönen",2020,4,16
8,"Kimi Räikkönen",2021,10,16
840,"Lance Stroll",2017,40,12
840,"Lance Stroll",2018,6,18
840,"Lance Stroll",2019,21,15
840,"Lance Stroll",2020,75,11
840,"Lance Stroll",2021,34,13
840,"Lance Stroll",2022,18,15
840,"Lance Stroll",2023,74,10
840,"Lance Stroll",2024,24,13
846,"Lando Norris",2019,49,11
846,"Lando Norris",2020,97,9
846,"Lando Norris",2021,160,6
846,"Lando Norris",2022,122,7
846,"Lando Norris",2023,205,6
846,"Lando Norris",2024,374,2
1,"Lewis Hamilton",2010,240,4
1,"Lewis Hamilton",2011,227,5
1,"Lewis Hamilton",2012,190,4
1,"Lewis Hamilton",2013,189,4
1,"Lewis Hamilton",2014,384,1
1,"Lewis Hamilton",2015,381,1
1,"Lewis Hamilton",2016,380,2
1,"Lewis Hamilton",2017,363,1
1,"Lewis Hamilton",2018,408,1
1,"Lewis Hamilton",2019,413,1
1,"Lewis Hamilton",2020,347,1
1,"Lewis Hamilton",2021,387.5,2
1,"Lewis Hamilton",2022,240,6
1,"Lewis Hamilton",2023,234,3
1,"Lewis Hamilton",2024,223,7
859,"Liam Lawson",2023,2,20
859,"Liam Lawson",2024,4,21
858,"Logan Sargeant",2023,1,21
858,"Logan Sargeant",2024,0,23
810,"Lucas di Grassi",2010,0,24
828,"Marcus Ericsson",2014,0,19
828,"Marcus Ericsson",2015,9,18
828,"Marcus Ericsson",2016,0,22
828,"Marcus Ericsson",2017,0,20
828,"Marcus Ericsson",2018,9,17
17,"Mark Webber",2010,242,3
17,"Mark Webber",2011,258,3
17,"Mark Webber",2012,179,6
17,"Mark Webber",2013,199,3
820,"Max Chilton",2013,0,23
820,"Max Chilton",2014,0,21
830,"Max Verstappen",2015,49,12
830,"Max Verstappen",2016,204,5
830,"Max Verstappen",2017,168,6
830,"Max Verstappen",2018,249,4
830,"Max Verstappen",2019,278,3
830,"Max Verstappen",2020,214,3
830,"Max Verstappen",2021,395.5,1
830,"Max Verstappen",2022,454,1
830,"Max Verstappen",2023,575,1
830,"Max Verstappen",2024,437,1
30,"Michael Schumacher",2010,72,9
30,"Michael Schumacher",2011,76,8
30,"Michael Schumacher",2012,49,13
854,"Mick Schumacher",2021,0,19
854,"Mick Schumacher",2022,12,16
39,"Narain Karthikeyan",2011,0,26
39,"Narain Karthikeyan",2012,0,24
849,"Nicholas Latifi",2020,0,21
849,"Nicholas Latifi",2021,7,17
849,"Nicholas Latifi",2022,2,20
2,"Nick Heidfeld",2010,6,18
2,"Nick Heidfeld",2011,34,11
807,"Nico Hülkenberg",2010,22,14
807,"Nico Hülkenberg",2012,63,11
807,"Nico Hülkenberg",2013,51,10
807,"Nico Hülkenberg",2014,96,9
807,"Nico Hülkenberg",2015,58,10
807,"Nico Hülkenberg",2016,72,9
807,"Nico Hülkenberg",2017,43,10
807,"Nico Hülkenberg",2018,69,7
807,"Nico Hülkenberg",2019,37,14
807,"Nico Hülkenberg",2020,10,15
807,"Nico Hülkenberg",2022,0,22
807,"Nico Hülkenberg",2023,9,16
807,"Nico Hülkenberg",2024,41,11
3,"Nico Rosberg",2010,142,7
3,"Nico Rosberg",2011,89,7
3,"Nico Rosberg",2012,93,9
3,"Nico Rosberg",2013,171,6
3,"Nico Rosberg",2014,317,2
3,"Nico Rosberg",2015,322,2
3,"Nico Rosberg",2016,385,1
853,"Nikita Mazepin",2021,0,21
856,"Nyck de Vries",2022,2,21
856,"Nyck de Vries",2023,0,22
860,"Oliver Bearman",2024,7,18
857,"Oscar Piastri",2023,97,9
857,"Oscar Piastri",2024,292,4
836,"Pascal Wehrlein",2016,1,19
836,"Pascal Wehrlein",2017,5,18
813,"Pastor Maldonado",2011,1,19
813,"Pastor Maldonado",2012,45,15
813,"Pastor Maldonado",2013,1,18
813,"Pastor Maldonado",2014,2,16
813,"Pastor Maldonado",2015,27,14
814,"Paul di Resta",2011,27,13
814,"Paul di Resta",2012,46,14
814,"Paul di Resta",2013,48,12
814,"Paul di Resta",2017,0,25
37,"Pedro de la Rosa",2010,6,17
37,"Pedro de la Rosa",2011,0,20
37,"Pedro de la Rosa",2012,0,25
842,"Pierre Gasly",2017,0,21
842,"Pierre Gasly",2018,29,15
842,"Pierre Gasly",2019,95,7
842,"Pierre Gasly",2020,75,10
842,"Pierre Gasly",2021,110,9
842,"Pierre Gasly",2022,23,14
842,"Pierre Gasly",2023,62,11
842,"Pierre Gasly",2024,42,10
850,"Pietro Fittipaldi",2020,0,23
837,"Rio Haryanto",2016,0,24
9,"Robert Kubica",2010,136,8
9,"Robert Kubica",2019,1,19
9,"Robert Kubica",2021,0,20
833,"Roberto Merhi",2015,0,19
154,"Romain Grosjean",2012,96,8
154,"Romain Grosjean",2013,132,7
154,"Romain Grosjean",2014,8,14
154,"Romain Grosjean",2015,51,11
154,"Romain Grosjean",2016,29,13
154,"Romain Grosjean",2017,28,13
154,"Romain Grosjean",2018,37,14
154,"Romain Grosjean",2019,8,18
154,"Romain Grosjean",2020,2,19
22,"Rubens Barrichello",2010,47,10
22,"Rubens Barrichello",2011,4,17
29,"Sakon Yamamoto",2010,0,26
20,"Sebastian Vettel",2010,256,1
20,"Sebastian Vettel",2011,392,1
20,"Sebastian Vettel",2012,281,1
20,"Sebastian Vettel",2013,397,1
20,"Sebastian Vettel",2014,167,5
20,"Sebastian Vettel",2015,278,3
20,"Sebastian Vettel",2016,212,4
20,"Sebastian Vettel",2017,317,2
20,"Sebastian Vettel",2018,320,2
20,"Sebastian Vettel",2019,240,5
20,"Sebastian Vettel",2020,33,13
20,"Sebastian Vettel",2021,43,12
20,"Sebastian Vettel",2022,37,12
67,"Sébastien Buemi",2010,8,16
67,"Sébastien Buemi",2011,15,15
845,"Sergey Sirotkin",2018,1,20
815,"Sergio Pérez",2011,14,16
815,"Sergio Pérez",2012,66,10
815,"Sergio Pérez",2013,49,11
815,"Sergio Pérez",2014,59,10
815,"Sergio Pérez",2015,78,9
815,"Sergio Pérez",2016,101,7
815,"Sergio Pérez",2017,100,7
815,"Sergio Pérez",2018,62,8
815,"Sergio Pérez",2019,52,10
815,"Sergio Pérez",2020,125,4
815,"Sergio Pérez",2021,190,4
815,"Sergio Pérez",2022,305,3
815,"Sergio Pérez",2023,285,2
815,"Sergio Pérez",2024,152,8
838,"Stoffel Vandoorne",2016,1,20
838,"Stoffel Vandoorne",2017,13,16
838,"Stoffel Vandoorne",2018,12,16
10,"Timo Glock",2010,0,25
10,"Timo Glock",2011,0,25
10,"Timo Glock",2012,0,20
822,"Valtteri Bottas",2013,4,17
822,"Valtteri Bottas",2014,186,4
822,"Valtteri Bottas",2015,136,5
822,"Valtteri Bottas",2016,85,8
822,"Valtteri Bottas",2017,305,3
822,"Valtteri Bottas",2018,247,5
822,"Valtteri Bottas",2019,326,2
822,"Valtteri Bottas",2020,223,2
822,"Valtteri Bottas",2021,226,3
822,"Valtteri Bottas",2022,49,10
822,"Valtteri Bottas",2023,10,15
822,"Valtteri Bottas",2024,0,22
808,"Vitaly Petrov",2010,27,13
808,"Vitaly Petrov",2011,37,10
808,"Vitaly Petrov",2012,0,19
24,"Vitantonio Liuzzi",2010,21,15
24,"Vitantonio Liuzzi",2011,0,23
829,"Will Stevens",2014,0,23
829,"Will Stevens",2015,0,21
852,"Yuki Tsunoda",2021,32,14
852,"Yuki Tsunoda",2022,12,17
852,"Yuki Tsunoda",2023,17,14
852,"Yuki Tsunoda",2024,30,12
